YEAR,STATEFIP,nativity_group,weighted_denominator,weighted_numerator,incarceration_rate_pct
2012,30,US-born,14201100,279300.0,1.966749054650696
2012,31,Foreign-born,2905500,49600.0,1.7071072104629152
2012,31,US-born,25705000,508000.0,1.9762692083252287
2012,32,Foreign-born,11171300,172700.0,1.545925720372741
2012,32,US-born,32451300,996900.0,3.0719878710560127
2012,33,Foreign-born,1236300,12600.0,1.019170104343606
2012,33,US-born,17231600,268300.0,1.5570231435270085
2012,34,Foreign-born,36447200,333200.0,0.9141991703066353
2012,34,US-born,91941600,2817500.0,3.0644452565541607
2012,35,Foreign-born,4367300,159400.0,3.6498523114968062
2012,35,US-born,27374500,937800.0,3.425815996639208
2012,36,Foreign-born,80542100,611200.0,0.7588577899011821
2012,36,US-born,224589300,5309000.0,2.363870407005142
2012,37,Foreign-born,19998200,322300.0,1.611645048054325
2012,37,US-born,127993300,3702300.0,2.8925732831327893
2012,38,Foreign-born,359900,35100.0,9.752709085857182
2012,38,US-born,11828000,157600.0,1.332431518430842
2012,39,Foreign-born,9637500,170900.0,1.7732814526588845
2012,39,US-born,156943000,4423900.0,2.81879408447653
2012,40,Foreign-born,5946900,55000.0,0.9248516033563705
2012,40,US-born,54298900,2150900.0,3.961222050538777
2012,41,Foreign-born,8952100,160700.0,1.7951095273734654
2012,41,US-born,51280000,1207200.0,2.3541341653666144
2012,42,Foreign-born,14717200,363200.0,2.467860734378822
2012,42,US-born,168403700,5573800.0,3.3097847612611835
