YEAR,STATEFIP,citizenship_group,weighted_denominator,weighted_numerator,uninsured_rate_pct
2010,23,Non-citizen / foreign-born unknown,2000400,316700.0,15.831833633273346
2010,23,US-born,126703500,13439600.0,10.607126085704026
2010,24,Naturalized citizen,36201100,4329100.0,11.9584763998884
2010,24,Non-citizen / foreign-born unknown,44374700,19636400.0,44.25134141751944
2010,24,US-born,490522400,42406100.0,8.64508939856773
2010,25,Naturalized citizen,46710900,1898100.0,4.063505520124853
2010,25,Non-citizen / foreign-born unknown,50792300,8149400.0,16.044557934962583
2010,25,US-born,542199600,18002000.0,3.3201795058498753
2010,26,Naturalized citizen,28276300,3985900.0,14.096257289673684
2010,26,Non-citizen / foreign-born unknown,29978400,8783000.0,29.297761054625997
2010,26,US-born,923968000,111197200.0,12.034745792062063
2010,27,Naturalized citizen,15973500,1479900.0,9.264719691989859
2010,27,Non-citizen / foreign-born unknown,21836900,7159500.0,32.78624713214788
2010,27,US-born,490022100,38978700.0,7.954477971503734
2010,28,Naturalized citizen,1987700,456500.0,22.966242390702824
2010,28,Non-citizen / foreign-born unknown,4310400,2843500.0,65.96835560504826
2010,28,US-born,289417300,51811700.0,17.90207427130306
2010,29,Naturalized citizen,9790300,1482600.0,15.143560462907162
2010,29,Non-citizen / foreign-born unknown,13509900,5377100.0,39.80118283629042
2010,29,US-born,572749200,73814000.0,12.887665316686606
2010,30,Naturalized citizen,1188000,121700.0,10.244107744107744
2010,30,Non-citizen / foreign-born unknown,797600,216600.0,27.156469408224677
2010,30,US-born,96295400,16255300.0,16.88066096615207
2010,31,Naturalized citizen,4226700,518300.0,12.26252158894646
2010,31,Non-citizen / foreign-born unknown,6700200,3002500.0,44.81209516133847
2010,31,US-born,170853500,17780700.0,10.406986102128432
2010,32,Naturalized citizen,21343600,3427800.0,16.060083584774826
2010,32,Non-citizen / foreign-born unknown,29478100,15524400.0,52.66418120570865
2010,32,US-born,214943800,41233600.0,19.18343306482904
2010,33,Naturalized citizen,3716300,593600.0,15.972876247880958
2010,33,Non-citizen / foreign-born unknown,3353500,726100.0,21.652005367526463
2010,33,US-born,123415400,13285100.0,10.764539919653462
2010,34,Naturalized citizen,92202800,13226600.0,14.345117501854606
2010,34,Non-citizen / foreign-born unknown,92408400,44095900.0,47.71849745261253
2010,34,US-born,674260400,57591200.0,8.541388460600682
2010,35,Naturalized citizen,7088800,1618600.0,22.83320167024038
2010,35,Non-citizen / foreign-born unknown,13726600,8616200.0,62.77009601795055
2010,35,US-born,183724900,31287300.0,17.029428237544288
2010,36,Naturalized citizen,222518500,24635600.0,11.071259243613452
2010,36,Non-citizen / foreign-born unknown,207597300,79946400.0,38.51032744645523
2010,36,US-born,1462243500,124402900.0,8.507673311592768
2010,37,Naturalized citizen,21397300,4227000.0,19.754828880279288
2010,37,Non-citizen / foreign-born unknown,50567300,30545000.0,60.40464885410136
2010,37,US-born,874712300,124838500.0,14.27194975993821
2010,38,Naturalized citizen,743200,44300.0,5.9607104413347685
