period,STATEFIP,nativity_group,weighted_denominator,weighted_numerator,uninsured_rate_pct
2020-2024,45,US-born,2473586900,210422400.0,8.50677208874287
2020-2024,46,Foreign-born,16923700,2808300.0,16.593889043176137
2020-2024,46,US-born,435292600,37400700.0,8.592082658882784
2020-2024,47,Foreign-born,197859400,66431600.0,33.57515488270964
2020-2024,47,US-born,3295117200,284615700.0,8.637498538746968
2020-2024,48,Foreign-born,2620997600,880211900.0,33.58308683685937
2020-2024,48,US-born,12191348000,1712143900.0,14.043926069537182
2020-2024,49,Foreign-born,146351400,39306400.0,26.857549705708315
2020-2024,49,US-born,1523992500,103213700.0,6.772585823092961
2020-2024,50,Foreign-born,14537800,916100.0,6.301503666304392
2020-2024,50,US-born,303288200,11231100.0,3.7031114299863956
2020-2024,51,Foreign-born,553689500,100996900.0,18.24071072324832
2020-2024,51,US-born,3696903700,189861800.0,5.135697746197717
2020-2024,53,Foreign-born,595821600,88404600.0,14.837427847530199
2020-2024,53,US-born,3228698000,154506300.0,4.785405757986656
2020-2024,54,Foreign-born,16069600,1975400.0,12.292776422561856
2020-2024,54,US-born,868187900,56824100.0,6.545138442956875
2020-2024,55,Foreign-born,153386500,27687800.0,18.05100188086957
2020-2024,55,US-born,2769092800,133250600.0,4.812066970092154
2020-2024,56,Foreign-born,9833000,2789600.0,28.369775246618527
2020-2024,56,US-born,278298200,29536600.0,10.613291785573892
