YEAR,STATEFIP,nativity_group,weighted_denominator,weighted_numerator,brain_waste_rate_pct
2011,9,Foreign-born,8016300,2696400.0,33.636465701133936
2011,9,US-born,45032400,14853900.0,32.984917526047916
2011,10,Foreign-born,1619800,460700.0,28.441782936164962
2011,10,US-born,8557500,2904800.0,33.94449313467718
2011,11,Foreign-born,2318400,560000.0,24.154589371980677
2011,11,US-born,10907800,2495400.0,22.877207136177784
2011,12,Foreign-born,43871900,19193200.0,43.748276231483025
2011,12,US-born,134502000,48971500.0,36.409495769579635
2011,13,Foreign-born,13933100,5577400.0,40.02985695932707
2011,13,US-born,93181100,32952700.0,35.364145733415896
2011,15,Foreign-born,2894400,1199400.0,41.43864013266999
2011,15,US-born,13340800,5071400.0,38.0142120412569
2011,16,Foreign-born,777100,191800.0,24.68150817140651
2011,16,US-born,13983100,5203800.0,37.214923729359015
2011,17,Foreign-born,26200000,10052200.0,38.36717557251909
2011,17,US-born,138146100,48319000.0,34.97673839507594
2011,18,Foreign-born,4168300,1190500.0,28.56080416476741
2011,18,US-born,58198800,20826100.0,35.78441479893056
2011,19,Foreign-born,1529800,352600.0,23.048764544384888
2011,19,US-born,32244200,11316400.0,35.095924228233294
2011,20,Foreign-born,2638400,938100.0,35.55563978168587
2011,20,US-born,33274200,11396800.0,34.251161560608516
2011,21,Foreign-born,2146300,524400.0,24.43274472347761
2011,21,US-born,36045600,12658400.0,35.117739751869856
2011,22,Foreign-born,2384800,717100.0,30.069607514256962
2011,22,US-born,35032300,11960000.0,34.13992230027717
2011,23,Foreign-born,751100,383700.0,51.08507522300626
2011,23,US-born,15437800,5355900.0,34.69341486481235
2011,24,Foreign-born,16480700,5447600.0,33.05442123210786
2011,24,US-born,69195900,20461900.0,29.570971690519237
2011,25,Foreign-born,17499600,5810600.0,33.20418752428627
2011,25,US-born,89373200,30080400.0,33.657069457063194
2011,26,Foreign-born,10557300,2788900.0,26.41679217224101
2011,26,US-born,89861200,30463700.0,33.9008381815511
2011,27,Foreign-born,6341800,2172700.0,34.259989277492195
2011,27,US-born,68102200,23505200.0,34.51459717894576
2011,28,Foreign-born,693200,341000.0,49.19215233698788
2011,28,US-born,22385100,7635400.0,34.109295915586706
2011,29,Foreign-born,4236200,1385200.0,32.69911713327983
2011,29,US-born,62637700,22115300.0,35.30669229553448
2011,30,Foreign-born,320100,168300.0,52.57731958762887
2011,30,US-born,11727200,4550100.0,38.79954294290197
2011,31,Foreign-born,907300,329000.0,36.261435027003195
2011,31,US-born,20181600,7762200.0,38.46176715423951
2011,32,Foreign-born,4707600,2384000.0,50.64151584671595
2011,32,US-born,17595900,7533000.0,42.811109406168484
2011,33,Foreign-born,1324300,456800.0,34.493694782149056
2011,33,US-born,16998400,5365100.0,31.56238234186747
2011,34,Foreign-born,35951700,12754800.0,35.47759911214212
2011,34,US-born,91622600,30621200.0,33.421011846422175
2011,35,Foreign-born,1164300,330500.0,28.3861547711071
2011,35,US-born,17391000,5846600.0,33.618538324420676
2011,36,Foreign-born,67744200,26318100.0,38.84922989717201
2011,36,US-born,197272500,67708900.0,34.32252341304541
2011,37,Foreign-born,7969500,2392600.0,30.021958717610893
2011,37,US-born,93572500,34000600.0,36.33610302172113
2011,38,Foreign-born,368000,123300.0,33.505434782608695
2011,38,US-born,7733900,2611000.0,33.76045720787701
2011,39,Foreign-born,8798800,2296000.0,26.09446742737646
2011,39,US-born,109760700,36692000.0,33.42908709583667
