period,year_start,year_end,country,country_code,country_key,iso3,is_aggregate,metric_key,metric_label,unit,years_observed,native_value,eu_migrant_value,extra_eu_migrant_value,gap_extra_eu_vs_native_pp,ratio_foreign_vs_native
2008-2013,2008,2013,Italy,IT,ITA,ITA,0,temporary_contract,Temporary contract rate,percentage points,6,17.64,20.05,15.95,-1.69,
2008-2013,2008,2013,Liechtenstein,LI,LIE,LIE,0,incarceration,Foreign prison-population representation,ratio,6,19.32,,80.68,61.37,4.82
2008-2013,2008,2013,Lithuania,LT,LTU,LTU,0,brain_waste,Highly educated employment rate,percentage points,6,79.36,,67.79,-12.26,
2008-2013,2008,2013,Lithuania,LT,LTU,LTU,0,incarceration,Foreign prison-population representation,ratio,6,98.73,,1.27,-97.45,0.01
2008-2013,2008,2013,Lithuania,LT,LTU,LTU,0,poverty,Poverty risk rate,percentage points,6,30.44,,34.27,2.94,
2008-2013,2008,2013,Lithuania,LT,LTU,LTU,0,temporary_contract,Temporary contract rate,percentage points,6,3.29,,,,
2008-2013,2008,2013,Luxembourg,LU,LUX,LUX,0,brain_waste,Highly educated employment rate,percentage points,6,75.74,80.24,71.34,-4.39,
2008-2013,2008,2013,Luxembourg,LU,LUX,LUX,0,incarceration,Foreign prison-population representation,ratio,6,30.1,,69.9,39.8,2.33
2008-2013,2008,2013,Luxembourg,LU,LUX,LUX,0,poverty,Poverty risk rate,percentage points,6,12.24,20.48,38.05,25.41,
2008-2013,2008,2013,Luxembourg,LU,LUX,LUX,0,temporary_contract,Temporary contract rate,percentage points,6,11.73,11.52,11.25,-0.45,
2008-2013,2008,2013,Latvia,LV,LVA,LVA,0,brain_waste,Highly educated employment rate,percentage points,6,80.53,,68.18,-12.35,
2008-2013,2008,2013,Latvia,LV,LVA,LVA,0,incarceration,Foreign prison-population representation,ratio,6,83.33,,1.28,-82.05,0.02
2008-2013,2008,2013,Latvia,LV,LVA,LVA,0,poverty,Poverty risk rate,percentage points,6,33.64,40.48,44.66,9.97,
2008-2013,2008,2013,Latvia,LV,LVA,LVA,0,temporary_contract,Temporary contract rate,percentage points,6,5.38,,6.03,0.65,
2008-2013,2008,2013,North Macedonia,MK,MKD,MKD,0,brain_waste,Highly educated employment rate,percentage points,6,67.06,,,,
2008-2013,2008,2013,North Macedonia,MK,MKD,MKD,0,incarceration,Foreign prison-population representation,ratio,1,,,,,0.02
2008-2013,2008,2013,North Macedonia,MK,MKD,MKD,0,poverty,Poverty risk rate,percentage points,4,48.43,,65.05,16.62,
2008-2013,2008,2013,North Macedonia,MK,MKD,MKD,0,temporary_contract,Temporary contract rate,percentage points,6,16.92,,,,
2008-2013,2008,2013,Malta,MT,MLT,MLT,0,brain_waste,Highly educated employment rate,percentage points,6,79.19,75.33,72.12,-7.07,
2008-2013,2008,2013,Malta,MT,MLT,MLT,0,incarceration,Foreign prison-population representation,ratio,3,,,38.59,,
2008-2013,2008,2013,Malta,MT,MLT,MLT,0,poverty,Poverty risk rate,percentage points,6,19.96,17.88,27.41,7.03,
2008-2013,2008,2013,Malta,MT,MLT,MLT,0,temporary_contract,Temporary contract rate,percentage points,6,6.23,,7.2,-0.66,
2008-2013,2008,2013,Montenegro,ME,MNE,MNE,0,brain_waste,Highly educated employment rate,percentage points,3,73.88,,57.94,-15.94,
2008-2013,2008,2013,Montenegro,ME,MNE,MNE,0,incarceration,Foreign prison-population representation,ratio,6,89.81,,10.14,-79.67,0.12
2008-2013,2008,2013,Montenegro,ME,MNE,MNE,0,poverty,Poverty risk rate,percentage points,1,35.17,,,,
2008-2013,2008,2013,Montenegro,ME,MNE,MNE,0,temporary_contract,Temporary contract rate,percentage points,3,25.89,,41.77,15.87,
2008-2013,2008,2013,Netherlands,NL,NLD,NLD,0,brain_waste,Highly educated employment rate,percentage points,6,79.2,80.25,65.39,-13.81,
2008-2013,2008,2013,Netherlands,NL,NLD,NLD,0,incarceration,Foreign prison-population representation,ratio,6,80.64,,19.36,-61.27,0.24
2008-2013,2008,2013,Netherlands,NL,NLD,NLD,0,poverty,Poverty risk rate,percentage points,6,15.57,17.01,29.55,13.86,
2008-2013,2008,2013,Netherlands,NL,NLD,NLD,0,temporary_contract,Temporary contract rate,percentage points,6,20.11,29.61,37.73,17.62,
